Abbey Lane     EH8 8HH
Alnwickhill Park     EH16 6UH
Alnwickhill Road     EH16 6JW
Alnwickhill Terrace     EH16 6YD
Alnwickhill View     EH16 6XZ
Alva Place     EH7 5AX
Alva Street     EH2 4PH
Alvanley Terrace     EH9 1DU
Amphion Lane     EH7 5FL
Anchorfield     EH6 4JG
Anderson Place     EH6 5NP
Andrew Wood Court     EH6 4LZ
Angle Park Terrace     EH11 2JP
Ann Street     EH4 1PJ
Ann Terrace     EH8 8HN
Annandale Street     EH7 4AN
Annandale Street Lane     EH7 4LS
Annfield     EH6 4JA
Annfield Street     EH6 4JJ
Antigua Street     EH1 3NH
Appin Lane     EH14 1JL
Appin Place     EH14 1NJ
Appin Street     EH14 1PA
Appin Terrace     EH14 1NN
Arboretum Avenue     EH4 1HP
Arboretum Place     EH3 5NY
Arboretum Road     EH3 5PD
Arch , East Market Street     EH8 8FS
Archibald Place     EH3 9EL
Arden Street     EH9 1BN
Ardmillan Place     EH11 2JU
Ardmillan Terrace     EH11 2JL
Ardshiel Avenue     EH4 7HP
Argyle Crescent     EH15 2QD
Argyle Park Terrace     EH9 1JY
Argyle Place     EH9 1JJ
Argyle Street     EH6 4SZ
Argyll Terrace     EH11 2BR
Arneil Drive     EH5 2GN
Arneil Place     EH5 2GP
Arnold Clark Citroen, Bankhead Drive     EH11 4EW
Arnott Gardens     EH14 2LB
Arran Place     EH15 2DU
Arthur Street     EH6 5BZ
Arthur Street Lane     EH6 5DR
Ascham Court     EH8 9LQ
Ashcroft Lane     EH14 3JT
Ashley Drive     EH11 1RN
Ashley Gardens     EH11 1RW
Ashley Grove     EH11 1RR
Ashley Place     EH6 5FH
Ashley Terrace     EH11 1RE
Ashton Grove     EH16 5TR
Ashton Villas     EH15 2QP
Ashville Terrace     EH6 8DD
Ashwood Gait     EH12 8PE
Aspen Road     EH16 4WQ
Assembly Street     EH6 7BL
Atholl Crescent     EH3 8HA
Atholl Crescent Lane     EH3 8ET
Atholl Place     EH3 8HP
Atholl Terrace     EH11 2BP
Auchingane     EH10 7HU
Auchinleck Court     EH6 4LL
Auchinleck's Brae     EH6 4TF
Avenel     EH4 6GX
Avenue Villas     EH4 2HU
Avon Grove     EH4 6RF
Avon Place     EH4 6RE
Avon Road     EH4 6LA
Avondale Place     EH3 5HX
Baberton Mains     EH14 2SR
Baberton Mains Avenue     EH14 3EQ
Baberton Mains Bank     EH14 3ED
Baberton Mains Brae     EH14 3HH
Baberton Mains Court     EH14 3ER
Baberton Mains Crescent     EH14 3DY
Baberton Mains Dell     EH14 3DQ
Baberton Mains Drive     EH14 3BP
Baberton Mains Gardens     EH14 3BX
Baberton Mains Green     EH14 3EJ
Baberton Mains Grove     EH14 3DB
Baberton Mains Hill     EH14 3DT
Baberton Mains Lea     EH14 3HB
Baberton Mains Loan     EH14 3EP
Baberton Mains Park     EH14 3DX
Baberton Mains Place     EH14 3DE
Baberton Mains Rise     EH14 3HG
Baberton Mains Row     EH14 3EH
Baberton Mains Terrace     EH14 3DG
Baberton Mains View     EH14 3BR
Baberton Mains Way     EH14 3HD
Baberton Mains Wood     EH14 3DU
Baberton Mains Wynd     EH14 3EE
Back Dean     EH4 3UA
Back Station Road     EH16 4AY
Backlee     EH16 6YH
Baileyfield Crescent     EH15 1ET
Baileyfield Road     EH15 1DL
Bailie Grove     EH15 3BS
Bailie Path     EH15 3BX
Bailie Place     EH15 3BR
Bailie Terrace     EH15 3BT
Bainfield Drive     EH11 1AR
Bainfield Place     EH11 1BF
Baird Avenue     EH12 5RT
Baird Drive     EH12 5RX
Baird Gardens     EH12 5RS
Baird Grove     EH12 5RP
Baird Terrace     EH12 5RR
Baker's Place     EH3 6SY
Balbirnie Place     EH12 5AD
Balcarres Court     EH10 5JL
Balcarres Street     EH10 5JB
Balderston Gardens     EH16 5TE
Balderston Gardens North     EH16 5TQ
Balfour Place     EH6 5DN
Balfour Street     EH6 5BY
Balfron Loan     EH4 7JY
Balgreen Avenue     EH12 5ST
Balgreen Gardens     EH12 5UG
Balgreen Park     EH12 5UE
Balgreen Road     EH11 2RZ
Ballantyne Lane     EH6 5RR
Ballantyne Road     EH6 5LT
Balmoral Place     EH3 5JA
Balmwell Avenue     EH16 6HD
Balmwell Grove     EH16 6HB
Balmwell Park     EH16 6HA
Balmwell Terrace     EH16 6PR
Baltic Street     EH6 7BP
Bangholm Avenue     EH5 3AS
Bangholm Bower Avenue     EH5 3NS
Bangholm Grove     EH5 3AQ
Bangholm Loan     EH5 3AH
Bangholm Park     EH5 3BA
Bangholm Road     EH5 3AZ
Bangholm Terrace     EH3 5QN
Bangholm View     EH5 3AG
Bangholm Villas     EH5 3AF
Bangor Road     EH6 5JT
Bank Street     EH1 2LN
Bankhead Avenue     EH11 4AA
Bankhead Broadway     EH11 4DB
Bankhead Crossway North     EH11 4BP
Bankhead Crossway South     EH11 4EP
Bankhead Drive     EH11 4DJ
Bankhead Medway     EH11 4BY
Bankhead Terrace     EH11 4DY
Bankhead Way     EH11 4FB
Barclay Place     EH10 4HW
Barclay Terrace     EH10 4HP
Barleyhill Terrace     EH6 8FH
Barn Park     EH14 3HW
Barn Park Crescent     EH14 3HP
Barnshot Road     EH13 0DH
Barnton Avenue     EH4 6AJ
Barnton Avenue West     EH4 6DE
Barnton Brae     EH4 6DG
Barnton Court     EH4 6EH
Barnton Gardens     EH4 6AE
Barnton Grove     EH4 6EJ
Barnton Loan     EH4 6JQ
Barnton Park     EH4 6JF
Barnton Park Avenue     EH4 6ES
Barnton Park Crescent     EH4 6EN
Barnton Park Dell     EH4 6HW
Barnton Park Drive     EH4 6HF
Barnton Park Gardens     EH4 6HL
Barnton Park Grove     EH4 6HG
Barnton Park Place     EH4 6ET
Barnton Park View     EH4 6EL
Barnton Park Wood     EH4 6EW
Barntongate Avenue     EH4 8BB
Barntongate Drive     EH4 8BE
Barntongate Terrace     EH4 8BA
Barnyard Park Crescent     EH12 9LN
Baronscourt Road     EH8 7ER
Baronscourt Terrace     EH8 7EN
Barony Place     EH3 6PB
Barony Street     EH3 6NX
Barony Terrace     EH12 8RD
Barrie's Close     EH1 1RB
Bath Place     EH15 1HG
Bath Road     EH6 7JT
Bath Street     EH15 1EY
Bath Street Lane     EH15 1HA
Bathfield     EH6 4DU
Baxter's Place     EH1 3AF
Beach Lane     EH15 1HU
Beauchamp Grove     EH16 6LH
Beauchamp Road     EH16 6LQ
Beaufort Road     EH9 1AF
Beaverbank Place     EH7 4ER
Beaverhall Road     EH7 4JE
Bedford Court     EH4 1JX
Bedford Street     EH4 1NA
Bedford Terrace     EH15 2EJ
Beechmount Crescent     EH12 5TU
Beechmount Park     EH12 5YT
Beechwood Mains     EH12 6XN
Beechwood Terrace     EH6 8DE
Belford Avenue     EH4 3EH
Belford Gardens     EH4 3EP
Belford Mews     EH4 3BT
Belford Park     EH4 3DP
Belford Place     EH4 3DH
Belford Road     EH4 3BL
Belford Terrace     EH4 3DQ
Belgrave Crescent     EH4 3AH
Belgrave Crescent Lane     EH4 3AG
Belgrave Gardens     EH12 6NA
Belgrave Mews     EH4 3AX
Belgrave Place     EH4 3AN
Belgrave Road     EH12 6NF
Belgrave Terrace     EH12 6XQ
Belhaven Place     EH10 5JN
Belhaven Terrace     EH10 5HZ
Bell Place     EH3 5HT
Bellenden Gardens     EH16 5TA
Bellevue Crescent     EH3 6ND
Bellevue Gardens     EH7 4JX
Bellevue Grove     EH7 4DD
Bellevue Place     EH7 4BS
Bellevue Road     EH7 4DA
Bellevue Street     EH7 4BX
Bellevue Terrace     EH7 4DS
Bellfield Lane     EH15 2BL
Bellfield Street     EH15 2BP
Bellfield Terrace     EH15 2BJ
Bellrock Park     EH10 6TY
Bells Brae     EH4 3BJ
Bells Mills     EH4 3DG
Bells Wynd     EH1 1QY
Belmont Avenue     EH12 6JB
Belmont Crescent     EH12 6JE
Belmont Drive     EH12 6JN
Belmont Gardens     EH12 6JD
Belmont Park     EH12 6JL
Belmont Terrace     EH12 6JF
Belmont View     EH12 6JJ
Belvedere Park     EH6 4LR
Beresford Avenue     EH5 3ET
Beresford Gardens     EH5 3ER
Beresford Place     EH5 3SL
Beresford Terrace     EH5 3HR
Bernard Street     EH6 6PP
Bernard Terrace     EH8 9NU
Bertram Walk     EH16 5GE
Bethlehem Way     EH7 6FB
Biggar Road     EH10 7BH
Bingham Avenue     EH15 3HX
Bingham Broadway     EH15 3JF
Bingham Crescent     EH15 3JT
Bingham Crossway     EH15 3JA
Bingham Drive     EH15 3BF
Bingham Medway     EH15 3NP
Bingham Place     EH15 3JD
Bingham Way     EH15 3NL
Birch Court     EH4 8BN
Birchwood View     EH12 8QB
Birnies Court     EH4 4SJ
Blackadder Place     EH5 2BF
Blackbarony Road     EH16 5QP
Blackburn Crag     EH17 7ND
Blackchapel Close     EH15 3SJ
Blackchapel Road     EH15 3QU
Blacket Avenue     EH9 1RR
Blacket Place     EH9 1RJ
Blackford Avenue     EH9 2ET
Blackford Bank     EH9 2PR
Blackford Glen Road     EH16 6AD
Blackford Hill Grove     EH9 3HA
Blackford Hill Rise     EH9 3EZ
Blackford Hill View     EH9 3HD
Blackford Road     EH9 2DS
Blackfriars Street     EH1 1NB
Blackie Road     EH6 7NA
Blackthorn Court     EH4 8BL
Blackwood Crescent     EH9 1QX
Blaeberry Gardens     EH4 8BW
Blair Street     EH1 1QR
Blandfield     EH7 4QJ
Blantyre Terrace     EH10 5AD
Bleachfield     EH6 5TE
Blenheim Place     EH7 5JH
Blinkbonny Avenue     EH4 3HS
Blinkbonny Crescent     EH4 3NB
Blinkbonny Gardens     EH4 3HD
Blinkbonny Grove     EH4 3HH
Blinkbonny Grove West     EH4 3HJ
Blinkbonny Road     EH4 3HX
Blinkbonny Terrace     EH4 3LL
Boat Green     EH3 5LL
Bogsmill Road     EH14 2LX
Bonaly Avenue     EH13 0ET
Bonaly Brae     EH13 0QF
Bonaly Crescent     EH13 0EN
Bonaly Drive     EH13 0EJ
Bonaly Gardens     EH13 0EX
Bonaly Grove     EH13 0QA
Bonaly Rise     EH13 0QU
Bonaly Road     EH13 0EA
Bonaly Steading     EH13 0HA
Bonaly Terrace     EH13 0EL
Bonaly Wester     EH13 0RQ
Bonar Place     EH6 4SR
Bonnington Avenue     EH6 5QH
Bonnington Gait     EH6 5NZ
Bonnington Grove     EH6 4BL
Bonnington Road     EH6 5BE
Bonnington Road Lane     EH6 5BJ
Bonnington Terrace     EH6 4BP
Bonnybridge Drive     EH15 3FB
Bonnyhaugh Lane     EH6 5TA
Boothacre Cottages     EH6 7QW
Boothacre Lane     EH6 7QN
Boroughloch     EH8 9NL
Boroughloch Square     EH8 9NJ
Borthwick Place     EH12 5HT
Boswall Avenue     EH5 2EA
Boswall Crescent     EH5 2EP
Boswall Drive     EH5 2BE
Boswall Gardens     EH5 2BN
Boswall Green     EH5 2AZ
Boswall Grove     EH5 2EJ
Boswall Loan     EH5 1AR
Boswall Parkway     EH5 2BH
Boswall Place     EH5 2ED
Boswall Quadrant     EH5 2EG
Boswall Road     EH5 3RH
Boswall Square     EH5 2EQ
Boswall Terrace     EH5 2BL
Bothwell Street     EH7 5PR
Bowes Place     EH16 4WH
Bowhill Terrace     EH3 5QY
Bowling Lane     EH6 5RP
Bowmont Place     EH8 9RY
Boyds Entry     EH1 1SY
Brackenridge View     EH17 7FB
Brae Park     EH4 6DJ
Brae Park Road     EH4 6DN
Braefoot Terrace     EH16 6AA
Braehead Avenue     EH4 6AU
Braehead Bank     EH4 6BH
Braehead Crescent     EH4 6BP
Braehead Drive     EH4 6QH
Braehead Grove     EH4 6BE
Braehead Loan     EH4 6BL
Braehead Park     EH4 6AX
Braehead Road     EH4 6BB
Braehead Row     EH4 6BR
Braehead View     EH4 6BQ
Braid Avenue     EH10 4SL
Braid Crescent     EH10 6AU
Braid Farm Road     EH10 6LE
Braid Hills Approach     EH10 6JY
Braid Hills Avenue     EH10 6LH
Braid Hills Crescent     EH10 6LL
Braid Hills Drive     EH10 6GZ
Braid Hills Road     EH10 6EZ
Braid Mount     EH10 6JH
Braid Mount Crest     EH10 6JN
Braid Mount Rise     EH10 6JW
Braid Mount View     EH10 6JL
Braid Road     EH10 6AD
Braidburn Crescent     EH10 6EL
Braidburn Terrace     EH10 6ES
Bramble Drive     EH4 8BP
Bramdean Grove     EH10 6JU
Bramdean Place     EH10 6JS
Bramdean Rise     EH10 6JR
Bramdean View     EH10 6JX
Brand Drive     EH15 3AF
Brand Gardens     EH15 3AJ
Brand Place     EH8 8EF
Brandfield Street     EH3 8AS
Brandon Street     EH3 5DX
Brandon Terrace     EH3 5DZ
Bread Street     EH3 9AF
Breadalbane Street     EH6 5JH
Breadalbane Terrace     EH11 2BW
Briarbank Terrace     EH11 1ST
Brickfield     EH15 1TF
Bridge End     EH16 4TH
Bridge Place     EH3 5JJ
Bridge Road     EH13 0LF
Bridge Street     EH15 1DB
Bridge Street Lane     EH15 1BZ
Briery Bauks     EH8 9TE
Brighouse Park Court     EH4 6QF
Brighouse Park Crescent     EH4 6QS
Brighouse Park Cross     EH4 6GU
Brighouse Park Drive     EH4 6QG
Brighouse Park Gait     EH4 6QT
Brighouse Park Gardens     EH4 6GY
Brighouse Park Rigg     EH4 6QU
Bright Terrace     EH11 2BL
Brighton Crescent East     EH15 1LR
Brighton Crescent West     EH15 1LU
Brighton Place     EH15 1LH
Brighton Street     EH1 1HD
Brights Crescent     EH9 2DA
Bristo Place     EH1 1EY
Bristo Square     EH8 9AL
Britwell Crescent     EH7 6PS
Broad Wynd     EH6 6QZ
Broombank Terrace     EH12 7NY
Broomburn Grove     EH12 7NN
Broomfield Crescent     EH12 7LS
Broomhall Avenue     EH12 7LY
Broomhall Bank     EH12 7PH
Broomhall Crescent     EH12 7PF
Broomhall Drive     EH12 7QH
Broomhall Gardens     EH12 7QA
Broomhall Loan     EH12 7PY
Broomhall Park     EH12 7PU
Broomhall Place     EH12 7PE
Broomhall Road     EH12 7PB
Broomhall Terrace     EH12 7PT
Broomhouse Avenue     EH11 3SD
Broomhouse Bank     EH11 3TL
Broomhouse Cottages     EH11 3RX
Broomhouse Cottages East     EH11 3RT
Broomhouse Cottages West     EH11 3RZ
Broomhouse Court     EH11 3RL
Broomhouse Crescent     EH11 3RF
Broomhouse Drive     EH11 3SH
Broomhouse Gardens     EH11 3SL
Broomhouse Gardens East     EH11 3SW
Broomhouse Gardens West     EH11 3SJ
Broomhouse Grove     EH11 3TG
Broomhouse Loan     EH11 3TS
Broomhouse Market     EH11 3UU
Broomhouse Medway     EH11 3RP
Broomhouse Park     EH11 3RU
Broomhouse Path     EH11 3UL
Broomhouse Place North     EH11 3UE
Broomhouse Place South     EH11 3TF
Broomhouse Road     EH11 3SF
Broomhouse Row     EH11 3RE
Broomhouse Square     EH11 3RS
Broomhouse Street North     EH11 3RR
Broomhouse Street South     EH11 3TH
Broomhouse Terrace     EH11 3RD
Broomhouse Walk     EH11 3UH
Broomhouse Way     EH11 3RW
Broomhouse Wynd     EH11 3RJ
Broomlea Crescent     EH12 7NR
Broompark Road     EH12 7JZ
Broomside Terrace     EH12 7LZ
Broomyknowe     EH14 1JZ
Brougham Place     EH3 9HW
Brougham Street     EH3 9JH
Broughton Market     EH3 6NU
Broughton Place     EH1 3RL
Broughton Place Lane     EH1 3RS
Broughton Road     EH7 4EB
Broughton Street     EH1 3JR
Broughton Street Lane     EH1 3LY
Brown Street     EH8 9RP
Brown's Place     EH1 2HX
Bruce Street     EH10 5JE
Brunstane Bank     EH15 2NR
Brunstane Crescent     EH15 2NU
Brunstane Drive     EH15 2NF
Brunstane Gardens     EH15 2QW
Brunstane Gardens Mews     EH15 2QX
Brunstane Mill Road     EH15 2LY
Brunstane Road     EH15 2EY
Brunstane Road North     EH15 2DJ
Brunstane Road South     EH15 2NG
Brunswick Place     EH7 5HP
Brunswick Road     EH7 5GU
Brunswick Street     EH7 5HR
Brunswick Street Lane     EH7 5JG
Brunswick Terrace     EH7 5PG
Brunton Place     EH7 5EG
Brunton Terrace     EH7 5EH
Bruntsfield Avenue     EH10 4EL
Bruntsfield Crescent     EH10 4EZ
Bruntsfield Gardens     EH10 4DX
Bruntsfield Place     EH10 4DE
Bruntsfield Terrace     EH10 4EX
Bryce Avenue     EH7 6TR
Bryson Road     EH11 1DR
Buccleuch Place     EH8 9JS
Buccleuch Street     EH8 9JN
Buccleuch Terrace     EH8 9NB
Buchanan Street     EH6 8RB
Buckingham Terrace     EH4 3AA
Buckstane Park     EH10 6PA
Buckstone Avenue     EH10 6QL
Buckstone Bank     EH10 6PW
Buckstone Circle     EH10 6XB
Buckstone Close     EH10 6XA
Buckstone Court     EH10 6UL
Buckstone Crescent     EH10 6PJ
Buckstone Crook     EH10 6XR
Buckstone Dell     EH10 6PG
Buckstone Drive     EH10 6PD
Buckstone Gardens     EH10 6QD
Buckstone Gate     EH10 6UH
Buckstone Green     EH10 6UF
Buckstone Grove     EH10 6PF
Buckstone Hill     EH10 6TH
Buckstone Howe     EH10 6XF
Buckstone Lea     EH10 6XE
Buckstone Loan     EH10 6UD
Buckstone Loan East     EH10 6UY
Buckstone Neuk     EH10 6TU
Buckstone Place     EH10 6UB
Buckstone Rise     EH10 6UW
Buckstone Road     EH10 6QF
Buckstone Row     EH10 6TP
Buckstone Shaw     EH10 6XP
Buckstone Terrace     EH10 6PZ
Buckstone View     EH10 6PE
Buckstone Way     EH10 6PN
Buckstone Wood     EH10 6QW
Buckstone Wynd     EH10 6UQ
Bughtlin Drive     EH12 8UX
Bughtlin Gardens     EH12 8XB
Bughtlin Green     EH12 8XA
Bughtlin Loan     EH12 8UZ
Bughtlin Market     EH12 8XP
Bughtlin Park     EH12 8UR
Bughtlin Place     EH12 8UY
Burdiehouse Avenue     EH17 8AN
Burdiehouse Crescent     EH17 8EX
Burdiehouse Crossway     EH17 8HA
Burdiehouse Drive     EH17 8AZ
Burdiehouse Loan     EH17 8AT
Burdiehouse Medway     EH17 8AP
Burdiehouse Place     EH17 8AH
Burdiehouse Road     EH17 8AE
Burdiehouse Square     EH17 8BN
Burdiehouse Street     EH17 8EY
Burdiehouse Terrace     EH17 8AJ
Burgess Street     EH6 6RD
Burgess Terrace     EH9 2BD
Burghtoft     EH17 8RR
Burlington Street     EH6 5JL
Burnbrae     EH12 8UB
Burnbrae Avenue     EH12 8AU
Burnbrae Drive     EH12 8AS
Burnbrae Grove     EH12 8BF
Burnbrae Park     EH12 8AN
Burnbrae Place     EH12 8AR
Burndale Place     EH17 8TD
Burne Cruick     EH12 9LS
Burnhead Crescent     EH16 6EA
Burnhead Grove     EH16 6ED
Burnhead Loan     EH16 6EU
Burnhead Path East     EH16 6EP
Burnhead Path West     EH16 6ES
Burns Place     EH6 5QD
Burns Street     EH6 8DS
Burnside     EH12 8UD
Byrehope Way     EH13 0FR
Cables Wynd     EH6 6DH
Cables Wynd House     EH6 6DF
Caddells Row     EH4 6HY
Cadiz Street     EH6 7BH
Cadogan Road     EH16 6LX
Cadzow Place     EH7 5SN
Caerketton Cottages     EH13 9QT
Cairnmuir Road     EH12 6LP
Cairntows Close     EH16 4AS
Caithness Place     EH5 3AE
Caiyside     EH10 7HN
Caiystane Avenue     EH10 6SA
Caiystane Crescent     EH10 6RH
Caiystane Drive     EH10 6SP
Caiystane Gardens     EH10 6SY
Caiystane Hill     EH10 6SJ
Caiystane Terrace     EH10 6SN
Caiystane View     EH10 6SQ
Cakemuir Gardens     EH16 4FL
Cakemuir Grove     EH16 4FN
Calder Court     EH11 4JY
Calder Crescent     EH11 4JA
Calder Drive     EH11 4LL
Calder Gardens     EH11 4JB
Calder Grove     EH11 4LX
Calder Park     EH11 4JJ
Calder Place     EH11 4LR
Calder Road     EH11 3PA
Calder Road Gardens     EH11 3PG
Calder View     EH11 4HU
Caledonian Crescent     EH11 2AG
Caledonian Place     EH11 2AP
Caledonian Road     EH11 2DA
Calton Hill     EH1 3BJ
Calton Road     EH8 8DL
Calton Road, Robertson's Court     EH8 8BY
Calton Wynd     EH8 8JL
Cambridge Avenue     EH6 5AP
Cambridge Gardens     EH6 5DH
Cambridge Street     EH1 2DY
Cambusnethan Street     EH7 5TZ
Cameron Crescent     EH16 5LB
Cameron House Avenue     EH16 5LF
Cameron March     EH16 5XG
Cameron Park     EH16 5JY
Cameron Terrace     EH16 5LD
Cameron Toll Gardens     EH16 4TF
Cameron Toll Lade     EH16 4US
Cammo Bank     EH4 8HE
Cammo Brae     EH4 8ET
Cammo Crescent     EH4 8DZ
Cammo Gardens     EH4 8EG
Cammo Grove     EH4 8EU
Cammo Hill     EH4 8EY
Cammo Parkway     EH4 8EP
Cammo Place     EH4 8EN
Cammo Road     EH12 0AR
Cammo Walk     EH4 8AN
Campbell Avenue     EH12 6DN
Campbell Park Crescent     EH13 0HT
Campbell Park Drive     EH13 0HS
Campbell Road     EH12 6DT
Campbells Close     EH8 8JJ
Camus Avenue     EH10 6QT
Camus Park     EH10 6RY
Canaan Lane     EH10 4SG
Candlemaker Row     EH1 2QA
Candlemaker's Crescent     EH17 8TX
Candlemaker's Park     EH17 8TH
Canning Street     EH3 8EG
Canning Street Lane     EH3 8ER
Canon Lane     EH3 5HD
Canon Street     EH3 5HE
Canongate     EH8 8AA
Canonmills     EH3 5HA
Canonmills Bridge     EH3 5LF
Capelaw Road     EH13 0HG
Capita, Morrison Street     EH3 8FJ
Captains Drive     EH16 6PT
Captains Loan     EH16 6QF
Captains Road     EH17 8DT
Captains Row     EH16 6QP
Carberry Place     EH12 5HY
Carfrae Gardens     EH4 3SF
Carfrae Grove     EH4 3SB
Carfrae Park     EH4 3SL
Carfrae Road     EH4 3QG
Cargil Court     EH5 3NE
Cargil Terrace     EH5 3LN
Cargilfield View     EH4 6SY
Carlton Street     EH4 1NE
Carlton Terrace     EH7 5DD
Carlton Terrace Mews     EH7 5DA
Carlyle Place     EH7 5RY
Carmichael Place     EH6 5PH
Carnbee Avenue     EH16 6GA
Carnbee Crescent     EH16 6GF
Carnbee Dell     EH16 6GD
Carnbee End     EH16 6GJ
Carnbee Park     EH16 6GE
Carnegie Court     EH8 9SN
Carnethy Avenue     EH13 0DL
Caroline Gardens     EH12 6XJ
Caroline Park     EH5 1QJ
Caroline Place     EH12 6XL
Caroline Terrace     EH12 8QS
Carpet Lane     EH6 6SS
Carrick Knowe Avenue     EH12 7BX
Carrick Knowe Drive     EH12 7EB
Carrick Knowe Gardens     EH12 7EH
Carrick Knowe Grove     EH12 7DA
Carrick Knowe Hill     EH12 7BR
Carrick Knowe Loan     EH12 7DZ
Carrick Knowe Parkway     EH12 7DX
Carrick Knowe Place     EH12 7EP
Carrick Knowe Road     EH12 7BE
Carrick Knowe Terrace     EH12 7ES
Carrington Road     EH4 1QJ
Carron Place     EH6 7RE
Casselbank Street     EH6 5HA
Cassels Lane     EH6 5EU
Castle Avenue     EH12 7JY
Castle Gogar Rigg     EH12 9FP
Castle Hill     EH1 2NG
Castle Park Green     EH16 4GB
Castle Street     EH2 3AH
Castle Terrace     EH1 2DP
Castle Wynd North     EH1 2NQ
Castle Wynd South     EH1 2JT
Castlebrae Avenue     EH16 4FJ
Castlebrae Glebe     EH16 4BD
Castlebrae Grove     EH16 4BW
Castlebrae Place     EH16 4DR
Castlebrae Rigg     EH16 4GE
Castlebrae Wynd     EH16 4FH
Castlehill     EH1 2ND
Castlelaw Road     EH13 0DN
Castlepark Gait     EH16 4GD
Castlepark Glade     EH16 4GA
Castleview Avenue     EH16 4FF
Castleview Drive     EH16 4BF
Castleview Grove     EH16 4BN
Castleview Terrace     EH16 4BU
Cathcart Place     EH11 2HD
Causewayside     EH9 1PH
Cavalry Park Drive     EH15 3QG
Cellar Bank     EH16 5GT
Chalmers Buildings     EH3 9QF
Chalmers Crescent     EH9 1TP
Chalmers Street     EH3 9ES
Chamberlain Road     EH10 4DJ
Chambers Street     EH1 1HR
Chancelot Crescent     EH6 4SU
Chancelot Grove     EH5 3AA
Chancelot Terrace     EH6 4SS
Chapel Court     EH16 4EF
Chapel Lane     EH6 6SG
Chapel Street     EH8 9AY
Chapel Wynd     EH1 2RT
Charles Street     EH8 9AD
Charlotte Auerbach Road     EH9 3FL
Charlotte Lane     EH2 4QZ
Charlotte Square     EH2 4DF
Charterhall Grove     EH9 3HT
Charterhall Road     EH9 3HP
Chesser Avenue     EH14 1SS
Chesser Cottages     EH11 3AB
Chesser Crescent     EH14 1SB
Chesser Gardens     EH14 1SR
Chesser Grove     EH14 1SZ
Chesser Loan     EH14 1SX
Chester Street     EH3 7EN
Cheyne Street     EH4 1JA
Christian Crescent     EH15 3AA
Christian Grove     EH15 3AG
Christiemiller Avenue     EH7 6ST
Christiemiller Grove     EH7 6SU
Christiemiller Place     EH7 6SX
Chuckie Pend     EH3 8BG
Church Hill     EH10 4BG
Church Hill Drive     EH10 4BT
Church Hill Place     EH10 4BD
Circus Gardens     EH3 6TN
Circus Lane     EH3 6SU
Citadel Place     EH6 6LQ
Citypark Way     EH5 2DE
Clackmae Grove     EH16 6PD
Clackmae Road     EH16 6NY
Clapper Lane     EH16 5TX
